trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
6427732730651522,10:50:00,10:50:00,2393,2,,
6427732730651522,10:52:00,10:52:00,2463,3,,
6427732730651522,10:53:00,10:53:00,2430,4,,
6427732740651522,09:43:00,09:43:00,2539,1,,
6427732740651522,09:44:00,09:44:00,2393,2,,
6427732740651522,09:45:00,09:45:00,2463,3,,
6427732740651522,09:46:00,09:46:00,2430,4,,
6427732750651522,12:13:00,12:13:00,2539,1,,
6427732750651522,12:14:00,12:14:00,2393,2,,
6427732750651522,12:15:00,12:15:00,2463,3,,
6427732750651522,12:16:00,12:16:00,2430,4,,
6427732760651522,12:13:00,12:13:00,2539,1,,
6427732760651522,12:14:00,12:14:00,2393,2,,
6427732760651522,12:15:00,12:15:00,2463,3,,
6427732760651522,12:16:00,12:16:00,2430,4,,
6427732770651522,09:49:00,09:49:00,2539,1,,
6427732770651522,09:50:00,09:50:00,2393,2,,
6427732770651522,09:52:00,09:52:00,2463,3,,
6427732770651522,09:53:00,09:53:00,2430,4,,
6527732720651522,13:36:00,13:36:00,2539,1,,
6527732720651522,13:37:00,13:37:00,2393,2,,
6527732720651522,13:39:00,13:39:00,2463,3,,
6527732720651522,13:40:00,13:40:00,2430,4,,
6527732730651522,10:54:00,10:54:00,2539,1,,
6527732730651522,10:55:00,10:55:00,2393,2,,
6527732730651522,10:56:00,10:56:00,2463,3,,
6527732730651522,10:57:00,10:57:00,2430,4,,
6527732740651522,09:47:00,09:47:00,2539,1,,
6527732740651522,09:48:00,09:48:00,2393,2,,
6527732740651522,09:49:00,09:49:00,2463,3,,
6527732740651522,09:50:00,09:50:00,2430,4,,
6527732750651522,12:19:00,12:19:00,2539,1,,
6527732750651522,12:20:00,12:20:00,2393,2,,
6527732750651522,12:22:00,12:22:00,2463,3,,
6527732750651522,12:23:00,12:23:00,2430,4,,
6527732760651522,12:19:00,12:19:00,2539,1,,
6527732760651522,12:20:00,12:20:00,2393,2,,
6527732760651522,12:22:00,12:22:00,2463,3,,
6527732760651522,12:23:00,12:23:00,2430,4,,
6527732770651522,09:53:00,09:53:00,2539,1,,
6527732770651522,09:54:00,09:54:00,2393,2,,
6527732770651522,09:56:00,09:56:00,2463,3,,
6527732770651522,09:57:00,09:57:00,2430,4,,
6627732720651522,13:41:00,13:41:00,2539,1,,
6627732720651522,13:42:00,13:42:00,2393,2,,
6627732720651522,13:44:00,13:44:00,2463,3,,
6627732720651522,13:45:00,13:45:00,2430,4,,
6627732730651522,10:59:00,10:59:00,2539,1,,
6627732730651522,11:00:00,11:00:00,2393,2,,
6627732730651522,11:01:00,11:01:00,2463,3,,
6627732730651522,11:02:00,11:02:00,2430,4,,
6627732740651522,09:51:00,09:51:00,2539,1,,
6627732740651522,09:52:00,09:52:00,2393,2,,
6627732740651522,09:53:00,09:53:00,2463,3,,
6627732740651522,09:54:00,09:54:00,2430,4,,
6627732750651522,12:25:00,12:25:00,2539,1,,
6627732750651522,12:26:00,12:26:00,2393,2,,
6627732750651522,12:27:00,12:27:00,2463,3,,
6627732750651522,12:28:00,12:28:00,2430,4,,
6627732760651522,12:25:00,12:25:00,2539,1,,
6627732760651522,12:26:00,12:26:00,2393,2,,
6627732760651522,12:27:00,12:27:00,2463,3,,
6627732760651522,12:28:00,12:28:00,2430,4,,
6627732770651522,09:57:00,09:57:00,2539,1,,
6627732770651522,09:58:00,09:58:00,2393,2,,
6627732770651522,10:00:00,10:00:00,2463,3,,
6627732770651522,10:01:00,10:01:00,2430,4,,
6727732720651522,13:46:00,13:46:00,2539,1,,
6727732720651522,13:47:00,13:47:00,2393,2,,
6727732720651522,13:49:00,13:49:00,2463,3,,
6727732720651522,13:50:00,13:50:00,2430,4,,
6727732730651522,11:04:00,11:04:00,2539,1,,
6727732730651522,11:05:00,11:05:00,2393,2,,
6727732730651522,11:06:00,11:06:00,2463,3,,
6727732730651522,11:07:00,11:07:00,2430,4,,
6727732740651522,09:55:00,09:55:00,2539,1,,
